name,rating,Duration,Year,Genre,Gross_income
Big Hero 6,7.8,102,2014,Animation Action Adventure,222527828
Robin Hood: Prince of Thieves,6.9,143,1991,Action Adventure Drama,165500000
Chaos Walking,5.7,109,2021,Action Adventure Fantasy,13287908
King Kong,7.2,187,2005,Action Adventure Drama,218080025
The Hunt for Red October,7.6,135,1990,Action Adventure Thriller,122012643
The Impossible,7.5,114,2012,Adventure Drama History,19019882
Sausage Party,6.1,89,2016,Animation Adventure Comedy,97685686
Smokey and the Bandit,6.9,96,1977,Action Adventure Comedy,126737428
Galaxy Quest,7.4,102,1999,Adventure Comedy Sci-Fi,71583916
North by Northwest,8.3,136,1959,Action Adventure Mystery,13275000
Batman v Superman: Dawn of Justice,6.4,152,2016,Action Adventure Sci-Fi,330360194
The African Queen,7.7,105,1951,Adventure Drama Romance,536118
Spy Kids,5.6,88,2001,Action Adventure Comedy,112719001
Spriggan,6.5,90,1998,Animation Action Adventure,7420
Pacific Rim,6.9,131,2013,Action Adventure Sci-Fi,101802906
Ad Astra,6.5,123,2019,Adventure Drama Mystery,50188370
The Road Warrior,7.6,96,1981,Action Adventure Sci-Fi,12465371
The Witches,5.3,106,2020,Adventure Comedy Family,12465371
The Descent,7.2,99,2005,Adventure Horror Thriller,26024456
Highlander,7.1,116,1986,Action Adventure Fantasy,5900000
The Man from U.N.C.L.E.,7.2,116,2015,Action Adventure Comedy,45445109
Snake Eyes,5.3,121,2021,Action Adventure Crime,45445109
Logan's Run,6.8,119,1976,Action Adventure Sci-Fi,25000000
The Predator,5.3,107,2018,Action Adventure Sci-Fi,51024708
Bill & Ted's Excellent Adventure,6.9,90,1989,Adventure Comedy Music,40485039
The Last of the Mohicans,7.7,112,1992,Action Adventure Drama,75505856
The Searchers,7.9,119,1956,Adventure Drama Western,75505856
Robin Hood,6.6,140,2010,Action Adventure Drama,105269730
The Fast and the Furious: Tokyo Drift,6.0,104,2006,Action Adventure Crime,62514415
GoldenEye,7.2,130,1995,Action Adventure Thriller,106600000
Conan the Barbarian,6.9,129,1982,Action Adventure Fantasy,39565475
Adventures in Babysitting,6.9,102,1987,Adventure Comedy Crime,34368475
Cannibal Holocaust,5.8,95,1980,Adventure Horror,34368475
Spaceballs,7.1,96,1987,Adventure Comedy Sci-Fi,38119483
Pokémon: Detective Pikachu,6.5,104,2019,Action Adventure Comedy,144105346
Australia,6.6,165,2008,Adventure Drama Romance,49554002
Teenage Mutant Ninja Turtles,5.8,101,2014,Action Adventure Comedy,191204754
The Hobbit: The Desolation of Smaug,7.8,161,2013,Adventure Fantasy,258366855
Clifford the Big Red Dog,5.9,96,2021,Adventure Comedy Family,258366855
The Blues Brothers,7.9,133,1980,Action Adventure Comedy,57229890
Men in Black: International,5.6,114,2019,Action Adventure Comedy,80001807
The Little Mermaid,7.6,83,1989,Animation Adventure Comedy,111543479
