track_name,released_year,released_month,in_spotify_charts,mode,danceability_%,artist(s)
Red Ruby Da Sleeze,2023,3,0,Major,70,Nicki Minaj
Kahani Suno 2.0,2022,5,6,Major,58,Kaifi Khalil
Nobody Gets Me,2022,12,6,Major,36,SZA
Hype Boy,2022,8,17,Minor,59,NewJeans
Bloody Mary,2011,1,0,Minor,59,Lady Gaga
Monoton�,2022,10,15,Minor,87,Ozuna Shakira
WANDA,2023,1,22,Minor,72,Quevedo
Thought You Should Know,2022,5,4,Major,53,Morgan Wallen
In The End,2000,10,6,Minor,55,Linkin Park
Zona De Perigo,2022,12,4,Major,81,Leo Santana
Lovezinho,2022,7,0,Minor,82,Treyce
I Like You (A Happier Song) (with Doja Cat),2022,6,14,Major,74,Post Malone Doja Cat
Neverita,2022,5,30,Major,88,Bad Bunny
Vista Al Mar,2022,9,34,Minor,76,Quevedo
Enemy (with JID) - from the series Arcane League of Legends,2021,9,7,Minor,72,Imagine Dragons League of Legends JID Arcane
Revenge,2017,8,11,Minor,75,XXXTENTACION
Bombonzinho - Ao Vivo,2022,11,6,Major,65,Israel & Rodolffo Ana Castela
Love Again,2023,1,0,Minor,66,The Kid Laroi
After Hours,2020,2,6,Minor,66,The Weeknd
About Damn Time,2022,7,2,Minor,84,Lizzo
Born With A Beer In My Hand,2023,3,0,Major,53,Morgan Wallen
Maan Meri Jaan,2022,10,6,Minor,70,King
Moscow Mule,2022,5,33,Minor,80,Bad Bunny
My Universe,2021,9,13,Major,58,Coldplay BTS
I'm Not Here To Make Friends,2023,1,0,Major,70,Sam Smith Calvin Harris Jessie Reyez
TRUSTFALL,2023,1,16,Major,64,P!nk
ANTIFRAGILE,2022,10,12,Minor,88,LE SSERAFIM
Boy's a liar,2022,11,0,Major,66,PinkPantheress
VIBE (feat. Jimin of BTS),2023,1,2,Major,79,TAEYANG Jimin
Shirt,2022,10,0,Minor,82,SZA
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,2022,10,0,Major,25,Rihanna
STAR WALKIN' (League of Legends Worlds Anthem),2022,9,0,Minor,64,Lil Nas X
"Sex, Drugs, Etc.",2016,11,16,Minor,57,Beach Weather
Boy With Luv (feat. Halsey),2019,4,0,Minor,65,Halsey BTS
"Hey, Mickey!",2016,9,0,Major,92,Baby Tate
Jhoome Jo Pathaan,2022,12,4,Major,82,Arijit Singh Vishal Dadlani Sukriti Kakar Vishal-Shekhar Shekhar Ravjiani Kumaar
Escapism. - Sped Up,2022,11,0,Minor,44,RAYE 070 Shake
Space Song,2015,1,4,Minor,51,Beach House
